	sample	Lane	name
1	22R12	2	22_R
2	22B_S27	2	22_B
3	29R_12	2	29_R
4	029B	1	29_B
5	030A12	1	30_A
6	030B	1	30_B
7	31R_12	1	31_R
8	031B	1	31_B
9	036A12	1	36_A
10	036B	1	36_B
11	37A	2	37_A
12	37B12	2	37_B
13	043A12	2	43_A
14	043B12	2	43_B
15	045A12	2	45_A
16	045B	2	45_B
17	046A12	2	46_A
18	046B	2	46_B
19	54A_12	2	54_A
20	54B	1	54_B
21	55A_12	2	55_A
22	55B	1	55_B
23	57A_12	2	57_A
24	57B	1	57_B
