	sample	Lane	name
1	22R12	2	22_R
2	22B_S27	2	22_B
3	030A12	1	30_A
4	030B	1	30_B
5	036A12	1	36_A
6	036B	1	36_B
7	37A	2	37_A
8	37B12	2	37_B
9	043A12	2	43_A
10	043B12	2	43_B
11	045A12	2	45_A
17	045B	2	45_B
18	046A12	2	46_A
19	046B	2	46_B
