	sample	Lane	name
0	21R	2	21_R
7	21B	1	21_B
4	27A	1	27_A
5	27B	1	27_B
8	29R	2	29_R
8	29B	2	29_B
8	30R	2	30_R
8	30B	2	30_B
8	31R	2	31_R
8	31B	2	31_B
13	50A	1	50_A
14	50B	1	50_B
15	51A	1	51_A
16	51B	1	51_B









